participant:assignmentId,condition,interested-Bear,complex-Bear,time-Bear,progress-Bear,rule-Bear,future-learn-0-Bear,future-learn-1-Bear,interested-Bunny,complex-Bunny,time-Bunny,progress-Bunny,rule-Bunny,future-learn-0-Bunny,future-learn-1-Bunny,interested-GreenMonster,complex-GreenMonster,time-GreenMonster,progress-GreenMonster,rule-GreenMonster,future-learn-0-GreenMonster,future-learn-1-GreenMonster,interested-Squid,complex-Squid,time-Squid,progress-Squid,rule-Squid,future-learn-0-Squid,future-learn-1-Squid,age,gender,race,ethnicity,thoughts,comments
A10249252O9I20MRSOBVF:3QFUFYSY9ZU71A0RA11WIB75T16F4P,1,9,10,8,3,5,6,8,8,4,7,10,10,9,3,8,9,7,8,7,6,8,7,3,9,10,10,4,3,53,female,white,nonhisp,Learning association with a stereotype,
A114BI2ZRYWKC0:3LYA37P8IR222VDEQR2G625GANLKBE,1,5,1,1,9,10,10,1,10,10,9,6,10,10,5,10,10,10,2,1,10,5,1,1,2,10,10,10,1,19,female,black,nonhisp,Learning patterns,
A115UFR6VA6OM1:3LUY3GC630FGBA74Q2V8XH5JM9E7PZ,0,7,7,7,7,6,7,8,8,9,9,4,4,9,8,8,7,8,10,10,7,4,9,3,5,9,9,9,3,61,female,white,nonhisp,not sure,
A11S8IAAVDXCUS:3HRMW88U175W8WA7DNI71Y119QDM0Y,1,7,4,4,8,7,8,3,4,2,1,10,10,3,1,5,2,2,10,9,3,1,10,10,10,3,3,10,5,27,female,white,nonhisp,I'm not sure,
A11W7R2O4RQSSS:34BBWHLWHBQ3K3L1LFD0G03OTN5WIT,0,9,1,8,8,8,1,7,4,2,5,9,10,1,2,9,5,8,6,7,1,7,8,9,6,4,2,1,9,24,female,white,nonhisp,not sure,enjoyed it!
A125FN8IYVB93O:34J10VATJGDY06PF96EUOBL25L2QIV,0,7,8,9,4,7,8,7,7,2,9,9,7,8,7,7,2,9,8,7,8,7,7,8,9,4,7,8,7,41,female,white,nonhisp,It was testing our memory.,None
A12DBV9FNAOFEM:3FQ5JJ512M34342BTH7PXX5ASFQNK4,1,6,10,9,2,2,10,10,10,2,3,10,10,10,1,3,8,8,7,9,10,1,4,5,6,7,10,10,1,32,male,white,nonhisp,I believe it was testing my memory. ,
A151HCDSHOD1IJ:3KXIR214I5VN0GOFM6MPYSDGJU142N,0,10,10,2,1,3,8,5,10,10,3,1,3,3,5,1,1,10,10,10,8,1,1,1,10,10,10,3,1,35,female,asian,nonhisp,Learning patterns,"So fun! Art is so cute. But, 300 trials is a bit too much."
A154B3Q5DTHN7:3R6P78PK7LQXWVBC0M8M84J9AENGTJ,1,9,4,8,8,9,8,9,9,7,7,7,8,7,9,9,4,8,8,9,7,9,9,10,4,5,3,3,7,69,male,white,NA,Judging differences,none
A15JXW50UYKBGP:3EO896NRAXA7NX1D8STP5HBP27UJTI,1,9,9,9,2,2,6,10,6,1,4,9,10,8,2,2,1,2,10,10,2,2,4,3,5,8,8,10,3,27,female,white,nonhisp,Patterns,
A163J5TEJBO43B:31EUONYN2WI010WZT0L9EVGWXJAVOC,1,5,2,3,10,10,3,1,6,1,6,10,10,9,1,10,10,10,1,2,8,8,8,3,8,10,10,5,1,40,female,white,NA,How we would adapt to new information and if we would understand provided information.,
A16G6PPH1INQL8:3570Y55XZQYTDHA6ASVLGLBOPHVGY0,0,1,1,1,10,10,6,1,10,10,10,1,1,10,10,9,10,6,1,5,9,10,6,1,1,10,10,4,1,49,female,white,nonhisp,I think it was about recognizing patterns and also recognizing when something is random. ,
A17MUS17DFQZ4P:3UWN2HHPUZK2RNFJYQGROJWK85DSNR,0,6,10,6,5,8,7,5,7,1,4,10,10,10,2,2,10,10,3,4,2,9,10,1,3,10,10,10,1,30,female,white,nonhisp,About how i am able to identify patterns on each family. ,n/a
A18G2CLYSTENK:3LQ8PUHQFM7LNDQCQGR0FXT1DVKIHY,0,6,6,8,9,10,10,8,6,6,7,10,9,10,9,6,6,9,7,8,10,10,6,6,9,9,9,10,10,28,male,white,nonhisp,,
A19F0UPKU4IT2P:3FIJLY1B6VJTQ3MA8LTKL9I0JURPF8,0,8,10,9,3,3,7,9,5,1,2,9,10,3,5,9,8,8,8,7,9,9,5,2,3,9,10,4,5,22,female,white,nonhisp,How people perceive patterns and how they react to them.,
A1A1A9UHNQCI9Y:34HJIJKLP6BWX7MHAG600XARHW34VD,1,3,1,1,10,10,3,2,3,4,4,8,8,5,2,8,8,9,5,5,10,6,9,10,9,3,2,10,6,36,female,black,nonhisp,I'm not sure. ,
A1AQQFJAF8CI4H:3ZSY5X72NYQ88TFIKGGZDYRTDGSROH,0,10,9,10,10,10,9,10,8,10,10,10,10,9,10,9,10,10,10,10,9,10,9,7,10,10,10,9,10,32,male,white,nonhisp,,
A1AWEM2XEAVOVQ:3WMINLGALCIF0NWYS0LMN882NW4AC9,1,9,9,9,5,5,8,9,9,10,10,4,3,8,10,8,2,1,10,10,2,1,8,1,1,10,10,3,1,32,female,white,nonhisp,How people learn differently.,
A1BNGJBEWJS8WE:3ERET4BTVNOJE2YHS7OKFWAQNP1K9S,1,10,1,4,7,10,8,1,10,5,6,7,6,8,5,10,10,10,2,3,8,10,10,1,1,10,10,8,1,68,female,white,NA,Not sure but really fun!! ,"Love these kind of hits. Thank you BTW can you let us know after hit is all done, did the one character keep changing?? Every time I thought I had it figured out that buzzer would ring....."
A1CUTQUSPA2DPU:34HJIJKLP6BWX7MHAG600XARGSAV42,0,10,7,5,10,9,10,3,10,1,1,10,10,10,1,10,2,4,10,8,10,3,1,10,10,1,1,10,10,41,male,white,nonhisp,No clue,None. Thank you.
A1DIGREVLNOXT3:3TYCR1GOTDY94ZYCH5UK7KPYRS6LZN,1,4,2,3,10,10,2,1,10,10,8,3,2,10,4,8,8,8,4,3,8,5,4,3,3,10,10,6,1,35,male,white,nonhisp,I'm not sure.,
A1DJBDVXF6Z1KK:3VSOLARPKCODI4QA71WLYATOC3593W,1,4,3,8,10,10,5,1,4,3,7,10,10,6,1,7,7,4,2,3,8,10,7,9,4,3,3,10,10,25,female,white,NA,Recognizing patterns,
A1EUBMQ86K32XE:33PPUNGG39KK7XTPMPRGTWYXXLSZRQ,1,5,7,8,4,6,7,8,7,9,7,3,9,7,6,4,2,8,7,7,6,9,9,2,3,9,8,5,5,55,female,white,NA,Matching,
A1FHH3XEFEQYV7:3I33IC7ZWGH2254WV7WGBVZGC7SA26,1,10,6,10,10,10,8,1,9,3,9,10,10,8,1,3,9,9,1,3,8,3,6,9,7,1,3,8,3,43,male,white,nonhisp,no idea,
A1FYTTGF0QACU9:3BGYGHDBBYZDX29SIS315DGI0JR22I,1,6,5,7,6,8,8,5,9,4,5,7,8,8,5,9,2,4,9,9,4,2,8,9,9,3,3,8,8,59,female,white,nonhisp,learning patterns,
A1G2XYC7T6HE2H:30IQTZXKALL7289BRUKGCFHZFS3X0U,0,10,1,10,10,10,10,10,1,10,4,3,5,5,1,1,10,4,3,5,5,1,1,10,4,3,5,5,1,29,female,mult,nonhisp,Learning how to categorize monsters ,
A1GB9IFYY2P7DR:3U84XHCDIDSD6RRRBDV3L3NN43JZ49,0,9,10,10,3,5,9,7,9,1,1,10,10,9,1,9,5,4,10,10,9,7,9,8,7,5,7,9,3,27,female,white,nonhisp,Memorizing ,
A1IFIK8J49WBER:31LVTDXBL8P028CL7O07LHNZIBLLRS,1,10,10,10,1,2,9,8,8,3,1,10,10,9,2,8,1,1,10,10,7,1,9,9,7,4,3,10,10,54,female,white,nonhisp,To determine how we pick out patterns and our memory of them,
A1K8QNLYYYX21W:3KAKFY4PGVH6T5JDBV2YB3SRVTXI3T,1,8,10,4,6,8,1,7,10,6,8,8,1,1,4,8,2,6,10,9,1,1,6,3,10,3,3,1,6,27,male,white,nonhisp,no idea,loved it!
A1L3937MY09J3I:3OS46CRSLGEACUQVT4ZFXVU5CJGV6N,0,10,10,6,3,5,4,6,3,3,6,8,5,4,6,3,3,6,8,5,4,6,3,3,6,8,5,4,6,34,male,white,nonhisp,Learning patterns.,
A1LRJ4U04532TM:3HMVI3QICK7W92K3S9AI9Y7INS8Y1E,1,10,1,9,9,10,10,4,10,1,9,10,10,10,3,6,10,3,4,9,10,9,5,10,3,2,3,10,8,42,female,white,nonhisp,,
A1LRVMS6IUA63:3JWH6J9I9TS3A1YHN4UWYUMK5JCBNZ,0,10,10,10,1,2,6,2,6,10,1,2,3,1,5,8,3,1,10,9,1,3,6,8,1,2,5,3,7,45,female,white,nonhisp,I'm not sure.,It was fun. I just wish I could have figured out more! 
A1M7SLIGEI3IH5:3ZQIG0FLQFV86951KMCJVPTI1O2VWO,1,4,10,6,2,2,4,4,10,1,10,10,10,1,1,8,10,3,1,1,1,5,9,7,7,5,4,1,1,51,male,black,nonhisp,I have no idea what  this experiment was about,none
A1MQ9B05ZMM4YI:3TMSXRD2X7FSKXP3D8SUO1M2BHMW1K,0,10,5,10,6,10,10,10,10,1,7,10,10,10,2,6,10,1,1,10,10,10,5,10,1,1,10,10,10,38,female,white,nonhisp,,
A1NKVN6J7HNCOT:39DD6S19JQQVYTOK0J7GUPZEHSMZEO,1,8,3,5,9,10,10,1,9,10,9,1,1,10,8,1,1,1,10,10,3,1,2,10,4,1,3,10,8,50,female,white,nonhisp,I'm not at all sure.,"It was fun, thanks"
A1NVJB5O4H7ZCJ:3IGI0VL648ZNTVNQR9ZI4EMJBGNNO2,1,9,2,2,9,9,1,4,2,8,8,2,4,2,8,3,10,10,2,2,3,10,10,1,1,10,10,2,2,53,female,white,NA,if you could remember what kind of food someone wanted by their shape,
A1OBB3PWYWK9KK:3Z3ZLGNNSJ9JA37WO377K5JDM4RQ3J,0,3,2,3,3,10,7,2,2,8,2,2,9,9,2,7,4,7,4,9,8,9,9,9,9,8,8,9,10,25,female,white,nonhisp,I think it was about how people learn.,
A1P6OXEJ86HQRM:3OVR4I9USQY4SZQ0OHCQUABJZ0AQ4I,1,3,1,1,10,10,9,1,10,10,10,1,1,7,2,8,7,8,2,2,3,3,9,8,6,3,3,2,3,34,male,white,nonhisp,not sure,
A1PUHCEBSOWETV:3DR23U6WE6TZCHFLURIY81YXXZHTEQ,1,8,6,5,9,3,10,9,10,10,6,8,9,8,1,4,1,2,7,10,2,1,4,5,2,7,8,3,6,20,male,white,nonhisp,To see how people are able to group stuff.,
A1QP4NP83WGF17:3M23Y66PO3MUK29RZ9UAM8AYEI1S61,0,1,1,1,6,10,7,1,10,8,10,10,10,7,1,7,8,7,6,1,7,1,1,10,7,6,1,7,1,21,female,white,nonhisp,No idea,No comments
A1QVLNM0795FRM:3907X2AHF1K9P9AYKQED1QOBAQT2P8,0,3,10,10,3,1,9,6,10,1,5,10,10,6,1,10,1,1,10,10,5,1,8,8,8,5,10,8,6,33,male,white,nonhisp,I identifying likenesses in groups ,
A1RDQFNF6LD25Z:36WLNQG780PZGVL4U5RD87SBRRTBES,0,7,6,6,8,8,9,8,7,2,2,10,10,9,1,7,2,2,10,10,9,1,7,10,10,1,2,9,4,28,female,white,nonhisp,seeing how people learn things,
A1RTLF0OVZI4QT:3UWN2HHPUZK2RNFJYQGROJWK85QNSZ,1,6,2,2,10,10,6,6,10,10,10,1,10,7,10,6,2,3,10,10,6,6,6,3,7,10,10,10,6,33,male,white,nonhisp,Learning rules and patterns.,
A1SRF7085UM3HI:3JAOYWH7VJJUY8GZD70LUWN5CO69LI,0,8,7,6,4,7,10,7,8,10,8,1,4,10,5,8,3,2,9,10,7,1,8,1,1,10,10,5,1,42,male,white,nonhisp,I thought it was about looking at how different people went about determining the food preferences.,
A1TMZLYXQAK8Q0:3IQ1VMJRYUZD2PPVGGBVLI7UHB1A9S,1,8,8,6,7,7,7,6,9,9,9,3,3,4,7,6,5,4,8,9,7,5,6,4,3,9,9,8,4,41,male,white,nonhisp,"I am not sure, I am guessing that the last family had not rules? and you were seeing how hard we tried to see if there was one?",thank you
A1U7O93JY3WFMU:3KYQYYSHYWME7JWD2FLF89APXCPODP,0,6,2,3,10,10,4,1,8,9,8,5,8,8,7,9,10,10,3,3,10,3,6,3,4,8,9,6,2,44,female,white,nonhisp,to see if people are more interested in things that they can not figure out.,
A1UCB0D27PY623:32SVAV9L3GORNN0FZ7ALU548ILK3A2,1,10,10,10,8,8,10,7,3,1,1,10,10,4,1,10,10,10,1,1,10,5,1,1,1,10,10,1,1,32,male,white,nonhisp,How much I can be frustrated by a monster whose food choices appear to be whatever I did not click.,
A1V2H0UF94ATWY:39JEC7537VGZSBZW3VCIJVMF856VCU,0,1,1,2,10,10,3,2,1,2,4,10,10,8,2,9,10,7,2,5,8,10,8,9,10,9,9,8,8,59,male,white,NA,Research on how people learn.,
A1V6CSBT0WW2OF:3VBEN272MLEWHVYXBM3WYZNN8VUGSF,1,3,2,2,10,10,2,3,6,3,5,8,9,9,3,4,5,7,8,9,7,4,9,10,9,2,1,9,8,44,female,white,nonhisp,I have not idea.,That was fun! Thank you!
A1VPE05UDNFKGV:3VNL7UK1XGYRIVFHP224QJJX8X5FTW,0,9,10,9,6,4,7,8,7,7,7,8,7,9,8,2,2,3,9,10,4,2,3,2,3,9,10,4,2,56,male,white,nonhisp,learning rules,
A1VW8Y7XCV3DRW:378XPAWRUDS6DQIYKAH8YB6X00CIA5,1,7,7,9,6,9,8,7,3,9,8,3,2,8,9,5,10,8,3,2,8,10,10,2,4,9,10,8,2,37,female,white,nonhisp,To see if I could determine the patterns,
A1WYDO7PQJ8UG:3Q8GYXHFEQHIUHKHX4U5FXSGVI3C55,0,10,1,9,9,10,3,2,2,10,1,2,2,9,4,10,1,8,10,10,5,1,8,5,6,7,7,3,5,27,female,black,nonhisp,I guess it was to see if we would keep trying on the impossible one or just refine our learning on the other three.,It was a good experiment. I mostly gave up on the pink family because they seemed impossible and just tried to learn the others.
A1Y0Y6U906ABT5:3FE7TXL1LJ2UPLBDK3T21VELFM1Q29,0,1,1,2,10,10,8,1,10,10,10,1,2,10,10,1,1,3,10,10,8,1,1,6,5,10,10,9,1,37,female,black,nonhisp,Picking up on clues.,
A1Y9VA9FKJLS5K:32M8BPYGAU17NHV16A9IUXH0YVNIGF,0,9,1,8,8,10,10,10,1,10,4,3,2,3,7,6,5,6,6,4,3,10,10,1,8,9,10,10,10,29,male,mult,hisp,I don't know.,
A1YILFU07P6DND:3LEP4MGT3HFUOP74YAGT2PAQRFSBDZ,1,6,2,8,10,10,2,1,6,7,5,9,9,9,7,6,9,5,7,7,9,9,6,2,8,10,10,2,1,24,male,white,nonhisp,,
A1Z0O5MC9DAE8C:3WOKGM4L72VK8ZVJQ3XKT2Q64Q40O3,0,9,10,6,3,4,10,4,4,7,8,7,7,10,8,1,1,3,10,10,4,10,6,3,8,9,8,7,8,30,female,asian,nonhisp,"How well we can learn the pattern, even if some were random.",
A1Z6F664MYBMVI:3EFE17QCRDKAHRT8VSLEJZZOMT2SHG,1,10,10,8,1,1,10,7,10,10,8,1,1,10,7,8,7,8,1,1,10,10,4,1,1,7,10,10,10,48,female,white,nonhisp,Testing your memory,
A1ZZ7YO3YASNIP:32SCWG5HIIJX7ATZ7SQGR35NQVZ6PX,1,6,1,1,10,10,3,1,6,3,4,8,9,3,3,8,7,7,4,4,8,3,8,9,9,2,2,7,3,25,female,white,nonhisp,Learning,N/A
A20X14OMRL0YPZ:308Q0PEVB9SS878TS4382GVDVLXI90,1,6,1,1,10,10,7,5,6,5,4,6,10,8,10,7,8,8,1,10,9,10,9,10,8,1,6,8,10,25,female,white,nonhisp,Bias about where we look and how we piece together feedback.,
A21H2UDDHN8ZF:3RANCT1ZVGWG5RIQK56ICPEEDHAUBJ,0,8,8,10,7,10,10,1,1,1,1,10,10,1,1,1,10,10,1,1,10,1,1,1,1,10,10,7,1,33,female,black,nonhisp,If not getting a category correct would let me be less interested in that species.,
A21M2USASL1O05:3ZQIG0FLQFV86951KMCJVPTI1O2VWO,1,3,8,3,4,7,5,8,8,5,7,5,7,7,8,10,2,10,10,10,10,7,2,10,1,1,5,2,8,30,male,white,nonhisp,perception of identifying patterns ,Thank you! It was fun 
A21SIPO89DP66I:3I0BTBYZAY0W2DZLWQ6IVTO8I02Y0B,0,6,7,3,5,7,10,2,6,10,7,1,1,10,1,7,10,5,2,5,10,1,5,1,1,10,10,3,1,35,male,white,nonhisp,"I don't know.  maybe to see if there was no rule within a certain family, how hard would I try to learn that non-existent rule.",none
A222XREQ12K58P:3NXNZ5RS1BCVJNRX9DZBBR54H4479A,0,1,1,1,10,10,4,1,1,1,6,10,10,10,1,4,5,6,10,10,10,2,8,10,10,1,3,10,8,29,male,white,nonhisp,"I suppose it was meant to test people's observational skills, but also I think it was meant to see how much effort they would invest in trying to solve something they couldn't figure out.",
A2389DERMNF3ZB:3QY7M81QH81F0JAODAQ010JKSZDK7G,1,2,10,10,2,2,9,2,10,4,3,8,8,8,7,4,8,8,4,5,10,6,9,1,3,10,10,8,6,39,female,white,nonhisp,Decision making based on feedback,
A23KAJRDVCVGOE:3ZQIG0FLQFV86951KMCJVPTI1OQWVD,1,2,1,1,8,10,3,1,10,4,7,10,10,10,2,10,4,2,10,10,3,2,3,10,10,3,1,6,8,38,male,asian,nonhisp,no idea,
A248TO3PTV0K5P:3QY5DC2MXSZ6I8U6P7SEVF5ZRBCFUN,0,6,5,6,6,10,7,10,8,7,8,7,10,7,10,8,9,8,8,10,7,10,8,9,9,8,10,7,10,33,female,mult,hisp,perception ,nice survey 
A250FES5PFCGK9:3MYYFCXHJ4MDFAWMLL7E0W7HUF64GB,0,3,2,2,9,9,6,2,9,9,8,2,4,9,4,8,7,8,4,5,9,7,8,5,4,7,7,9,7,35,male,white,nonhisp,Analyzing differences ,
A258MR1IS96JEP:31QTRG6Q2USZQU35DBL8AUPGP58PYW,0,4,4,3,6,7,1,8,1,8,2,2,6,1,8,1,10,1,1,3,1,4,10,1,10,10,10,1,1,33,male,white,nonhisp,dk,
A25CAT0W9W97Z8:3Y54SXRO1M0G1DC7KRX3CJK0IKRUTH,0,4,3,3,9,10,3,1,7,2,5,9,10,8,1,10,10,9,1,2,8,2,3,1,1,10,10,8,1,30,male,asian,NA,how people learn rules,
A2653BIPJKEMRK:3LRKMWOKB6W33DC47ZCFSOQPKQY2ZT,0,10,7,5,5,6,10,5,10,10,10,1,1,10,8,10,5,3,10,10,10,2,10,5,6,10,10,10,2,34,female,white,nonhisp,Not sure,The pink rabbit had no distinction that I could tell and it was very challenging Good Work
A26M2EYRTI3QPP:351SEKWQS1WQ7GB1PZ62G5LK2CRDMG,0,2,7,5,8,10,10,2,7,7,7,8,10,3,2,8,10,8,1,2,10,10,1,1,3,10,10,3,1,39,NA,white,nonhisp,I do not know,
A26RO8GGTQAXGG:3Z4AIRP3C7S79XUTNDOGQK09KJL1XB,0,9,1,2,10,10,3,1,3,9,10,2,4,7,5,3,8,8,2,5,3,2,10,3,2,10,10,3,1,53,female,white,nonhisp,learning rules,
A28FW73RBVGYZ9:3CP1TO84PUG5WZSF0B5Z3KJUKU5258,0,6,9,8,8,7,9,7,7,8,8,8,7,9,7,6,8,8,8,4,10,7,6,8,8,8,8,9,7,31,male,white,nonhisp,I am not sure,
A28SYXQL3YOKVL:3LJ7UR74RISJP2D88PK9QGGEUPL4N7,1,6,2,1,10,10,2,1,4,2,2,7,10,3,1,5,6,3,5,6,7,7,8,10,10,3,1,10,6,32,male,white,nonhisp,"recognizing patterns, but also non-patterns?",
A2AWBDW9V1E9KT:34J10VATJGDY06PF96EUOBL24IGQI2,0,6,2,9,10,10,7,1,6,10,3,1,5,7,5,6,6,3,6,8,7,5,6,2,3,9,10,3,1,35,male,white,nonhisp,I don't know,
A2AWE6TNM98YSR:3TGOYF991Y1V1QRWKWNDHF621YYUU8,1,6,10,2,6,8,7,3,6,3,2,5,10,9,1,3,7,2,3,9,1,7,3,1,10,10,10,1,1,33,male,black,nonhisp,How fast people learned rules to situations with visual clues,
A2BNOEYZ3VRW2R:38F5OAUN5OROYT9G7PN3O83S0H97HX,1,1,10,10,2,1,10,1,1,10,10,2,1,10,1,10,1,1,10,10,10,1,10,1,1,10,10,10,1,65,female,white,nonhisp,not sure,
A2BW6WD7LZ9EGV:33IZTU6J82G73HTN0W30MLNIAJLSX9,0,6,2,2,10,10,3,1,5,1,1,10,10,3,1,9,8,9,3,6,3,10,8,10,10,1,2,3,10,26,male,white,nonhisp,I don't know,
A2C2WXXKJOLCZ2:3ZY8KE4ISKI3MC9F8DDD30BWCKSVQK,1,6,3,4,9,10,9,5,8,9,7,3,7,9,9,9,10,8,3,6,10,10,6,2,2,8,10,7,7,22,female,white,hisp,How well you could define differences in groups,
A2C7VUFGB8WGCG:39N5ACM9HF2KPTVX5ZTSBDWPHZ59PG,0,8,1,2,10,10,2,1,8,10,10,1,2,2,1,8,10,10,3,4,2,1,8,1,1,10,10,2,1,30,male,white,nonhisp,how people learn about behavior,
A2DRV5CGGW5HTK:3L0KT67Y8FVW3MJX5SP25ZURDSCYSP,1,9,7,8,9,9,8,9,8,8,9,8,9,8,9,7,8,9,9,8,6,9,5,6,8,9,9,6,9,25,female,white,nonhisp,Learning patterns,
A2EEL9YYUHL5SK:3TUI152ZZC2N00TH1ZTOWC4GOI81QT,1,1,5,7,7,9,9,6,9,5,7,7,9,3,6,1,9,5,1,5,7,10,6,3,6,9,9,3,4,39,female,black,nonhisp,memory retention,
A2EI075XZT9Y2S:3VNL7UK1XGYRIVFHP224QJJX8X3FTU,1,4,4,2,9,10,10,2,4,1,2,10,10,10,2,1,1,2,10,10,10,2,9,10,10,3,3,10,4,40,male,white,nonhisp,learning,
A2EOOF9D135HQ1:3WSELTNVR4HWM4Y9EMGCCI86CKNTAZ,1,10,10,10,2,4,10,10,5,2,2,10,10,5,3,5,2,2,10,10,5,2,5,1,2,10,10,5,1,41,male,white,NA,I honestly have no idea,None
A2F9V69F6TZIAB:3NS0A6KXC5NTI7KB6EX4USKQVBMGZE,0,1,10,8,1,2,10,2,10,1,3,10,10,5,6,9,4,4,8,9,9,7,10,4,6,9,8,8,8,30,female,black,nonhisp,not sure,
A2FE6HDHREXIJ5:3PM8NZGV8ZVVQ1EA8SEVRL8HSV9XQY,0,10,1,1,10,10,10,10,10,10,10,3,1,5,1,10,5,4,9,9,10,10,10,1,3,10,10,10,10,34,female,white,hisp,I think it was testing to see if I could figure out if there was a preference rule or not. I couldn't find a rule on one of them.,
A2GG7HIO2OIXUR:3TK8OJTYM20IM08080YO3VLM7O6VPT,1,5,10,9,1,2,10,3,3,7,7,8,6,10,7,9,1,7,10,10,1,5,10,1,7,10,10,1,4,27,female,white,nonhisp,Learning patterns,
A2I4A4WGWII18Z:3U5JL4WY5LOO1WRCAV7IOI7CW4W4XU,1,9,8,8,5,7,10,10,9,10,10,1,5,10,10,4,1,1,10,10,3,2,4,1,1,10,10,3,2,40,female,white,nonhisp,Trying to check for memory and learning.,
A2IQ0QCTQ3KWLT:3NLZY2D53Q40Q7XLU9B7GRDUMPJLQR,0,9,2,9,9,9,9,3,8,10,3,6,3,8,10,7,8,7,7,2,8,8,9,2,9,9,9,9,4,46,female,white,nonhisp,to see if I could spot the diferences,
A2LU259QPV1I4V:35GMH2SV3FWJZPADYAWZERSAYRPEOE,0,5,1,4,10,10,10,1,8,10,7,1,3,10,10,10,10,10,6,1,10,6,1,1,1,10,10,1,1,28,male,white,hisp,How fast people learn through trial and error.,Great experiment!
A2NT3OQZUUZPEO:3PWWM24LHTDOJHBHY9C2F4TLMJN28P,0,10,10,7,1,6,10,8,9,9,7,9,10,10,6,6,6,6,10,10,10,3,1,1,3,10,10,6,1,44,female,white,hisp,"Not sure, perhaps a test of the ability to recognize rules and their patterns.",
A2O7H7VXLFN6BP:3JW0YLFXRUVLLY56AWHFHRCW8WXWWQ,0,9,1,3,10,10,2,1,2,10,10,1,3,9,1,9,3,4,10,10,1,1,8,10,10,1,5,9,10,23,male,white,nonhisp,I'm not sure.,
A2OWVYIPSQB0QP:3U8YCDAGXQVNTB8Z5GPOI7L6IOHQ0P,0,10,10,10,1,1,10,10,1,1,1,10,10,1,1,1,3,3,10,10,3,1,10,10,10,4,5,10,10,30,female,white,nonhisp,I'm not sure.,
A2R2HMURPYBWWC:3ZV9H2YQQEMOU03I0C6DCU1Z91ZW3B,0,10,6,9,10,8,6,7,5,4,4,5,7,6,5,5,6,3,6,5,5,4,7,4,2,7,5,8,6,30,female,white,nonhisp,Which monsters preferred which food.,None thank you!
A2RBF3IIJP15IH:31QNSG6A5S8V5I8N4LTXBVATXYM78L,0,10,2,9,9,10,2,2,4,10,4,6,6,6,8,3,9,3,3,5,8,8,9,2,8,10,10,3,2,32,male,asian,nonhisp,To see if people could spot patterns,
A2REJHHCX9OHFI:3180JW2OT5R52VQN7WBR215BM4VJ5E,1,7,6,4,6,5,6,10,9,10,6,3,3,10,10,4,2,8,10,10,6,1,4,2,7,10,10,6,1,34,female,black,nonhisp,To see if I could recognize patterns.,This was fun.
A2RRC5B4M80XXO:3UJ1CZ6IZI4Y1Y9DUQK5U2WYINQS5L,1,4,10,1,1,3,10,4,1,10,3,4,6,10,3,10,1,10,10,10,10,10,10,5,7,8,10,10,10,44,male,white,nonhisp,not sure,
A2RTJ6BDY0DZVZ:3HWRJOOET6HYXH265RD8YW2BVGFSEC,1,10,7,4,10,10,5,1,6,8,9,5,5,9,9,1,10,10,1,1,9,10,10,4,3,10,10,5,1,52,female,white,nonhisp,no idea,that yellow family was a tough one! tried so many different combinations and was stuck.
A2RVEG53L48BAE:3TDXMTX3CC95QO6VUX0WI64B5KU6II,0,4,5,5,10,10,10,2,9,10,10,2,1,10,2,8,8,8,5,6,10,4,2,1,1,10,10,10,1,37,male,white,nonhisp,pattern recognition,none
